Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,DC,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhodie Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Grand Total
7/11,15,,31,37,30,28,59,84,80,72,18,9,45,39,25,16,50,74,14,91,71,28,46,72,76,38,,17,58,5,70,20,39,68,72,23,36,28,16,50,24,55,22,59,91,,27,73,26,16,13,2056
7/12,8,77,12,8,9,6,55,15,9,11,10,9,78,10,9,12,12,8,30,65,28,9,8,7,39,55,6,16,13,14,14,9,11,8,1,9,14,8,8,12,57,41,8,14,7,,8,9,8,8,9,911
7/13,8,9,8,19,8,13,21,9,8,9,9,34,8,8,9,22,14,63,22,19,11,7,8,8,39,38,85,71,8,,10,13,9,8,15,12,6,20,8,8,24,7,9,10,8,9,11,9,10,8,13,822
7/14,19,28,8,16,7,8,9,16,59,8,17,8,,7,10,9,10,9,9,8,31,9,8,9,7,18,,70,8,92,11,26,8,9,90,8,3,11,9,52,7,,8,9,10,,12,7,10,6,45,858
7/15,20,97,14,50,9,16,8,53,30,10,8,52,45,14,35,83,55,10,64,51,9,36,10,14,17,29,6,58,10,91,8,77,16,9,95,22,83,15,14,,16,9,32,9,20,,10,52,11,12,,1514
7/16,8,11,9,9,9,23,19,25,92,12,9,15,47,8,9,47,14,4,5,49,8,14,13,8,40,59,,59,9,30,16,9,14,9,16,8,10,9,9,15,7,42,26,9,17,,20,14,11,9,5,939
7/17,20,15,17,21,9,9,8,13,5,15,12,32,54,9,17,10,40,38,10,33,23,9,14,16,68,21,11,12,35,7,57,28,12,15,,9,9,10,14,2,79,9,29,11,43,,34,8,28,19,11,1030
7/18,21,28,23,7,9,12,20,64,7,24,12,19,24,12,22,16,7,8,50,17,44,16,16,11,12,8,8,13,16,7,14,48,10,10,18,10,9,9,8,42,11,34,23,9,32,,23,16,17,23,,919
7/19,14,57,12,17,10,9,6,10,4,18,15,34,5,13,12,74,19,7,29,18,8,13,17,11,34,33,10,27,9,17,61,91,11,9,8,17,17,32,10,19,44,37,41,16,45,,18,13,11,15,8,1085
7/20,13,8,13,35,8,9,22,9,10,10,13,18,39,9,6,17,33,10,12,5,7,14,11,60,50,9,,37,12,67,8,9,8,15,23,9,54,19,11,9,31,6,28,9,23,3,28,8,22,14,10,913
7/21,53,,15,63,9,29,16,25,91,14,40,20,,14,11,56,50,14,48,20,23,9,9,62,76,12,,27,41,0,8,,14,53,,8,12,8,22,84,13,,40,13,17,11,45,44,20,8,,1267
7/22,54,8,8,34,8,50,50,11,,25,9,53,,16,58,8,56,26,7,24,9,22,9,35,83,11,,6,7,,23,,11,18,2,8,20,13,16,9,42,,29,9,29,,73,12,51,7,91,1150
7/23,49,34,43,53,13,20,25,62,9,19,75,39,94,16,17,21,56,26,8,37,9,19,15,25,92,88,,9,14,,43,46,33,17,,9,9,35,9,96,55,99,30,23,14,99,78,60,75,11,60,1888
Total,2940,2053,2202,2998,2226,2544,3079,3901,2222,3573,2273,3859,2831,1985,2775,3498,3015,3839,2852,2666,2993,3135,1893,3430,4009,3357,1389,2704,2678,2832,2787,2836,2486,2956,2237,1921,3330,2820,2099,2899,3540,2470,3167,2753,4236,1151,3634,2991,3061,2955,1404,143484
